2026-03-10 16:36:43,518 | INFO | get_bs_data | 任务池进度 progress=3156/373605 remaining=370449 by_freq=d:tasks=0,rows=0, w:tasks=3156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:36:52,417 | INFO | get_bs_data | 任务池进度 progress=3356/373605 remaining=370249 by_freq=d:tasks=0,rows=0, w:tasks=3356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:02,297 | INFO | get_bs_data | 任务池进度 progress=3556/373605 remaining=370049 by_freq=d:tasks=0,rows=0, w:tasks=3556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:10,626 | INFO | get_bs_data | 任务池进度 progress=3756/373605 remaining=369849 by_freq=d:tasks=0,rows=0, w:tasks=3756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:21,931 | INFO | get_bs_data | 任务池进度 progress=3956/373605 remaining=369649 by_freq=d:tasks=0,rows=0, w:tasks=3956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:27,354 | INFO | get_bs_data | 任务池进度 progress=4156/373605 remaining=369449 by_freq=d:tasks=0,rows=0, w:tasks=4156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:35,772 | INFO | get_bs_data | 任务池进度 progress=4356/373605 remaining=369249 by_freq=d:tasks=0,rows=0, w:tasks=4356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:40,246 | INFO | get_bs_data | 任务池进度 progress=4556/373605 remaining=369049 by_freq=d:tasks=0,rows=0, w:tasks=4556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:45,061 | INFO | get_bs_data | 任务池进度 progress=4756/373605 remaining=368849 by_freq=d:tasks=0,rows=0, w:tasks=4756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:49,053 | INFO | get_bs_data | 任务池进度 progress=4956/373605 remaining=368649 by_freq=d:tasks=0,rows=0, w:tasks=4956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:52,912 | INFO | get_bs_data | 任务池进度 progress=5156/373605 remaining=368449 by_freq=d:tasks=0,rows=0, w:tasks=5156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:37:57,249 | INFO | get_bs_data | 任务池进度 progress=5356/373605 remaining=368249 by_freq=d:tasks=0,rows=0, w:tasks=5356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:01,155 | INFO | get_bs_data | 任务池进度 progress=5556/373605 remaining=368049 by_freq=d:tasks=0,rows=0, w:tasks=5556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:04,982 | INFO | get_bs_data | 任务池进度 progress=5756/373605 remaining=367849 by_freq=d:tasks=0,rows=0, w:tasks=5756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:08,394 | INFO | get_bs_data | 任务池进度 progress=5956/373605 remaining=367649 by_freq=d:tasks=0,rows=0, w:tasks=5956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:12,081 | INFO | get_bs_data | 任务池进度 progress=6156/373605 remaining=367449 by_freq=d:tasks=0,rows=0, w:tasks=6156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:22,244 | INFO | get_bs_data | 任务池进度 progress=6356/373605 remaining=367249 by_freq=d:tasks=0,rows=0, w:tasks=6356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:27,611 | INFO | get_bs_data | 任务池进度 progress=6556/373605 remaining=367049 by_freq=d:tasks=0,rows=0, w:tasks=6556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:31,967 | INFO | get_bs_data | 任务池进度 progress=6756/373605 remaining=366849 by_freq=d:tasks=0,rows=0, w:tasks=6756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:36,545 | INFO | get_bs_data | 任务池进度 progress=6956/373605 remaining=366649 by_freq=d:tasks=0,rows=0, w:tasks=6956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:47,291 | INFO | get_bs_data | 任务池进度 progress=7156/373605 remaining=366449 by_freq=d:tasks=0,rows=0, w:tasks=7156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:38:52,178 | INFO | get_bs_data | 任务池进度 progress=7356/373605 remaining=366249 by_freq=d:tasks=0,rows=0, w:tasks=7356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
